,chill hours,chill type,chill hours by type,book title,pages read,previous day page,current day page
2020.10.12,3,"skype,chat","0.5,1",a little life,9,624,633
2020.10.13,2,"hangout,survivo","1.5,0.5",a little life,12,633,645
2020.10.14,4,"Youtube,survivo","2,1.5",a little life,0,645,645
2020.10.15,1,"guitar,youtube,survivo","0.5,0.25,0.25",a little life,17,645,662
2020.10.16,2,"Youtube,survivo","1,1",a little life,0,662,662
2020.10.17,6,"guitar,youtube,survivo,nap,zoom","0.5,0.5,1,2,2",a little life,0,662,662
2020.10.18,3,"barbeque,survivo","2.5,0.5",a little life,26,662,688
2020.10.19,2,"survivo,guitar,hangout","0.5,0.5,1",a little life,7,688,695
2020.10.20,2.5,"hangout,youtube","2,0.5",a little life,27,695,722
2020.10.21,2,"hangout,youtube","1.5,0.5",when breath becomes air,22,0,22
2020.10.22,1,hangout,1,when breath becomes air,58,22,80
2020.10.23,2,hangout,2,when breath becomes air,4,80,84
2020.10.24,6,"nap,hangout,youtube","2.5,1.5,2",when breath becomes air,15,84,99
2020.10.25,1.5,youtube,1.5,when breath becomes air,19,99,118
2020.10.26,,,,,,,
2020.10.27,,,,,,,
2020.10.28,,,,,,,
2020.10.29,,,,,,,
2020.10.30,,,,,,,
2020.10.31,,,,,,,
